estimator__n_neurons,estimator__n_hidden,estimator__learning_rate,estimator__act,estimator,std,neg_log_loss
62,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.016272654959337482,-0.23162853373153353
38,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.039586130940606104,-0.23479323657967568
107,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.01797646477063904,-0.23786702675951543
146,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.02774479736175541,-0.23992331776206738
177,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.027842144422377493,-0.23993953606779786
140,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.02111005673398793,-0.24092044183868014
81,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.021115156778418773,-0.24127792457067448
170,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.0324068555886977,-0.24299397184481208
93,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.026117952519359156,-0.2446090727908507
165,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.007905890194151548,-0.24477437820307563
184,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.024866313950726793,-0.24523086302832117
75,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.0137501402524614,-0.24764128929388038
125,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.01622338361436219,-0.24769842655452165
161,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.021857147001590478,-0.2499384443858958
130,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.02806245487893309,-0.2500941871022731
34,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.05572791295407731,-0.25772400387387007
19,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.030935791963572483,-0.2784683824923759
13,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.02387684430136249,-0.2835695729160521
8,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.05563465788902385,-0.38202105293035127
6,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025F80CECBB0>,0.07050340992371984,-0.5011532054585224
